Game,Step,Cell_0_0,Cell_0_1,Cell_0_2,Cell_0_3,Cell_1_0,Cell_1_1,Cell_1_2,Cell_1_3,Cell_2_0,Cell_2_1,Cell_2_2,Cell_2_3,Cell_3_0,Cell_3_1,Cell_3_2,Cell_3_3,Move,Agent
16,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,20,1
16,1,0,0,0,0,0,1,2,0,1,1,1,0,0,0,0,0,30,2
16,2,0,0,0,0,0,1,2,0,1,2,1,0,2,0,0,0,13,1
16,3,0,0,0,0,0,1,1,1,1,2,1,0,2,0,0,0,03,2
16,4,0,0,0,2,0,1,2,1,1,2,1,0,2,0,0,0,31,1
16,5,0,0,0,2,0,1,2,1,1,1,1,0,2,1,0,0,32,2
16,6,0,0,0,2,0,1,2,1,1,1,2,0,2,2,2,0,23,1
16,7,0,0,0,2,0,1,2,1,1,1,1,1,2,2,2,0,33,2
16,8,0,0,0,2,0,1,2,2,1,1,1,2,2,2,2,2,02,1
16,9,0,0,1,2,0,1,1,2,1,1,1,2,2,2,2,2,10,2
16,10,0,0,1,2,2,2,2,2,2,2,1,2,2,2,2,2,00,1
16,11,1,0,1,2,2,1,2,2,2,2,1,2,2,2,2,2,01,2
17,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,31,1
17,1,0,0,0,0,0,1,2,0,0,1,1,0,0,1,0,0,30,2
17,2,0,0,0,0,0,1,2,0,0,2,1,0,2,1,0,0,13,1
17,3,0,0,0,0,0,1,1,1,0,2,1,0,2,1,0,0,03,2
17,4,0,0,0,2,0,1,2,1,0,2,1,0,2,1,0,0,20,1
17,5,0,0,0,2,0,1,2,1,1,1,1,0,2,1,0,0,32,2
17,6,0,0,0,2,0,1,2,1,1,1,2,0,2,2,2,0,23,1
17,7,0,0,0,2,0,1,2,1,1,1,1,1,2,2,2,0,33,2
17,8,0,0,0,2,0,1,2,2,1,1,1,2,2,2,2,2,02,1
17,9,0,0,1,2,0,1,1,2,1,1,1,2,2,2,2,2,10,2
17,10,0,0,1,2,2,2,2,2,2,2,1,2,2,2,2,2,00,1
17,11,1,0,1,2,2,1,2,2,2,2,1,2,2,2,2,2,01,2
18,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,02,1
18,1,0,0,1,0,0,1,1,0,0,2,1,0,0,0,0,0,03,2
18,2,0,0,1,2,0,1,2,0,0,2,1,0,0,0,0,0,20,1
18,3,0,0,1,2,0,1,2,0,1,1,1,0,0,0,0,0,30,2
18,4,0,0,1,2,0,1,2,0,1,2,1,0,2,0,0,0,31,1
18,5,0,0,1,2,0,1,2,0,1,1,1,0,2,1,0,0,10,2
18,6,0,0,1,2,2,2,2,0,2,1,1,0,2,1,0,0,00,1
18,7,1,0,1,2,2,1,2,0,2,1,1,0,2,1,0,0,32,2
18,8,1,0,1,2,2,1,2,0,2,2,2,0,2,2,2,0,33,1
18,9,1,0,1,2,2,1,2,0,2,2,1,0,2,2,2,1,13,2
19,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,31,1
19,1,0,0,0,0,0,1,2,0,0,1,1,0,0,1,0,0,30,2
19,2,0,0,0,0,0,1,2,0,0,2,1,0,2,1,0,0,13,1
19,3,0,0,0,0,0,1,1,1,0,2,1,0,2,1,0,0,03,2
19,4,0,0,0,2,0,1,2,1,0,2,1,0,2,1,0,0,20,1
19,5,0,0,0,2,0,1,2,1,1,1,1,0,2,1,0,0,10,2
19,6,0,0,0,2,2,2,2,1,2,1,1,0,2,1,0,0,02,1
19,7,0,0,1,2,2,2,1,1,2,1,1,0,2,1,0,0,32,2
19,8,0,0,1,2,2,2,1,1,2,2,1,0,2,2,2,0,00,1
19,9,1,0,1,2,2,1,1,1,2,2,1,0,2,2,2,0,23,2
19,10,1,0,1,2,2,1,1,2,2,2,2,2,2,2,2,0,33,1
19,11,1,0,1,2,2,1,1,2,2,2,1,2,2,2,2,1,01,2
20,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,31,1
